names	logFC	AveExpr	t	P.Value	adj.P.Val	B
TCF21	-3.19738696618359	6.7093239010989	-30.2682887565035	2.20789430864515e-49	5.19296741393339e-45	101.891811568466
AGER	-4.95675685024157	7.56931675824176	-29.677662067853	1.13214945655855e-48	1.33140776091286e-44	100.295298376058
TNNC1	-4.46387068115943	6.28857923076923	-28.5130948495225	3.07606636197251e-47	2.41163602778645e-43	97.0648932633539
TOP2A	4.64592548309176	6.40021758241758	28.1518071456367	8.75916756672684e-47	5.15039052923538e-43	96.0397418628041
GPM6A	-4.06915091304349	5.85044857142857	-27.1727874731837	1.57639389284512e-45	7.41535687194344e-42	93.2049764057823
CDC20	4.12956444927534	6.64996747252747	26.3441101625526	1.94131434889149e-44	7.60995224765464e-41	90.7385000073252
UHRF1	3.50833233333331	6.61208538461538	26.152528062746	3.49913731868193e-44	1.17571013907713e-40	90.1592594102453
TPX2	4.03654829468596	6.61505142857143	26.0353060819683	5.02603802723385e-44	1.47765518000675e-40	89.8031450224433
FIGF /// PIR-FIGF	-4.43243838647344	6.75477252747253	-25.5013128510806	2.65794282651832e-43	6.94609058663453e-40	88.1643742561937
NOSTRIN	-3.62632303864736	6.22895340659341	-25.1335194498472	8.5004468954731e-43	1.99930510981527e-39	87.0196471451422
RGCC	-1.65586857487925	7.30397697802198	-25.0316545027043	1.17560373676891e-42	2.51365453534589e-39	86.7002569224559
CLDN18	-5.65064216183576	7.62228087912088	-24.9507390847822	1.52203789765394e-42	2.98319427940172e-39	86.4458218917176
ANLN	3.72447049516906	6.05537159340659	23.9307802663819	4.16838369875522e-41	7.54156804574791e-38	83.182139988503
MELK	3.42168021739127	6.92241054945055	23.8446002003747	5.53959817114752e-41	9.30652492752783e-38	82.9015011938822
CLEC3B /// EXOSC7	-4.41587579710147	9.07073571428571	-23.7612533528046	7.29856261980514e-41	1.08114644461508e-37	82.6293528547711
TK1	2.83297199516905	7.12615	23.758938953478	7.35473771846991e-41	1.08114644461508e-37	82.6217854125891
INMT	-4.09363298550727	7.69881835164835	-23.428802551695	2.20787076916632e-40	3.05465414651717e-37	81.536567708848
ADH1B	-4.40361267874397	6.45560120879121	-23.2857522652936	3.56731177378977e-40	4.4680125527053e-37	81.0627567775128
CEP55	3.47721331884055	5.60311956043956	23.282265954965	3.60936388186228e-40	4.4680125527053e-37	81.0511822302831
FAM107A	-4.12580073429953	7.75641917582418	-23.1330798309564	5.96673438598693e-40	7.01687963792063e-37	80.5546668338097
FAM150B	-3.72446329951693	6.28679604395604	-23.0353760165223	8.30332771706117e-40	9.29972704310851e-37	80.2281987325578
TNXA /// TNXB	-3.31067982608698	7.53129153846154	-22.9452099235945	1.12740425648005e-39	1.20529764147322e-36	79.92600411404
NPR1	-1.44390553623191	6.93374835164835	-22.6323242466603	3.28008399828707e-39	3.35424241911791e-36	78.8705118281374
HIGD1B	-2.72055066666668	7.08398725274725	-22.5382627337429	4.53103447136873e-39	4.44041378194135e-36	78.5511112927646
SFTA1P	-3.4558112125604	6.8149121978022	-22.4958309607399	5.24357302271356e-39	4.93315349976892e-36	78.4067090441601
EDNRB	-3.63120143478263	7.28579362637363	-22.3397720356466	8.98742432857952e-39	8.13016231569963e-36	77.8739044762406
FAM189A2	-3.22453422222224	6.80911989010989	-22.270365918789	1.14307277260218e-38	9.95743393022344e-36	77.6360760468965
UBE2T	3.27507859903379	6.64226868131868	22.0522906595272	2.44171192529697e-38	1.87513786946321e-35	76.8853192037754
CDK1	3.40291707004828	6.77348065934066	22.0515097600315	2.44837977650588e-38	1.87513786946321e-35	76.8826212734252
UBE2C	3.67689996135262	7.67537450549451	22.0496795199035	2.46407969093555e-38	1.87513786946321e-35	76.8762977069061
GKN2	-4.99450235265703	7.32345472527473	-22.0488205772908	2.47148273611222e-38	1.87513786946321e-35	76.8733298897227
DPEP2	-2.61051914492756	6.30670758241758	-21.9003851041875	4.1555427722481e-38	3.05432393760235e-35	76.3592091768931
ACADL	-3.07266437439615	5.67818126373626	-21.8077474610698	5.75437708989417e-38	4.10130148952457e-35	76.0370892732718
EMCN	-3.59775674879229	7.25377417582418	-21.7502128986289	7.0470258155791e-38	4.87488374065943e-35	75.8365403526152
GAPDH	1.25430144927532	13.0508758241758	21.6336829306724	1.0635105339545e-37	7.14679078817425e-35	75.429197102275
RRM2	3.99759842512074	7.87510148351648	21.6150163500105	1.13614463293674e-37	7.33178705625031e-35	75.3638021716031
DLGAP5	3.78432942028983	5.6427543956044	21.6107626179624	1.15338486854278e-37	7.33178705625031e-35	75.3488944363745
MIF	1.63939449275358	11.9115582417582	21.5917936999008	1.233536127066e-37	7.63493939699799e-35	75.2823903244231
MAD2L1	3.44748496618355	5.78827626373626	21.5266886356925	1.55391507316994e-37	9.37130321050182e-35	75.0538220020269
CPB2	-4.87827639130437	6.91909208791209	-21.3833535211997	2.58771422685206e-37	1.52157596538901e-34	74.5488926227265
ARHGAP6	-1.4457341714976	4.68853620879121	-20.7713698519095	2.34366144336623e-36	1.34446139385302e-33	72.3662497918457
CENPA /// SLC35F6	3.48395267632847	5.97220582417582	20.7153329733417	2.87373765420981e-36	1.60929308635749e-33	72.1642020236477
PRC1	3.43717117874393	6.91919692307692	20.6921950656996	3.12648594484519e-36	1.71011510285486e-33	72.0806673159556
KIF2C	2.79125521256036	6.0894643956044	20.5878286291706	4.57636142969311e-36	2.44627320059959e-33	71.7030860493717
FXYD1	-2.73495909178746	7.44748142857143	-20.5579674301175	5.10461558701333e-36	2.66801241347897e-33	71.5948153164902
ECSCR	-2.37434982125606	7.47362098901099	-20.5414621973763	5.42257229268009e-36	2.7725847896486e-33	71.5349251925982
KANK3	-2.55157632367152	6.58761307692308	-20.4418346422259	7.81444201717682e-36	3.9105463030638e-33	71.1727329096662
KIF4A	3.01490393236713	5.64500648351648	20.4358284108746	7.98879042220712e-36	3.91450730688149e-33	71.1508596781506
PCAT19	-2.23918790338166	6.52915637362637	-20.4251947014706	8.30714465935285e-36	3.98742943648937e-33	71.112123742551
KIF20A	2.85921528019321	6.42631472527473	20.2229171808618	1.75131060257856e-35	8.23816507452954e-33	70.372701708567
MUSTN1 /// TMEM110 /// TMEM110-MUSTN1	-2.66701636714978	6.70167076923077	-20.1941663089747	1.94791953050323e-35	8.98334654067374e-33	70.2672050311635
MCM2	2.97608345893716	7.70841472527473	20.0020587227018	3.97561098090413e-35	1.79819942828587e-32	69.5597406633426
MCEMP1	-4.43020255555558	8.60896450549451	-19.9803342217344	4.31082194249899e-35	1.91302890731276e-32	69.4794563341781
TMOD1	-1.5343512125604	5.75135467032967	-19.9680023479395	4.51364296096639e-35	1.96594226744314e-32	69.4338576424187
HJURP	2.60833799033814	5.46799296703297	19.8985713469408	5.84913780308561e-35	2.46740482909075e-32	69.1767833545903
MYZAP	-2.73638671014494	6.11729021978022	-19.8974011688983	5.87477340259703e-35	2.46740482909075e-32	69.1724456552566
BUB1B	3.59512669565215	6.18141879120879	19.743061509763	1.04739685215473e-34	4.32189016889109e-32	68.5988682998919
PEBP4	-4.61219556038649	7.54576626373626	-19.6457705179521	1.51022549475511e-34	6.12422476493798e-32	68.235809438891
LOC643733	-1.09787694685992	4.41437379120879	-19.490847496166	2.71100930400757e-34	1.08072777678404e-31	67.6552929211284
CCNB1	3.18222388405794	6.02446802197802	19.4533902968438	3.12429494958298e-34	1.22472362023653e-31	67.5144932929271
SCN7A	-2.71623379951692	5.25948351648352	-19.1186069383812	1.11883473107244e-33	4.31393325816782e-31	66.2483651703079
ASPA	-1.52805825120774	4.69456450549451	-19.1071499390177	1.16904078204623e-33	4.43481277318184e-31	66.2047897226715
ZWINT	2.91468451207726	7.58399945054945	19.0483633257815	1.46472388729962e-33	5.46830251258526e-31	65.980944369423
CDKN3	3.17405397584538	6.13812895604396	19.0137907266398	1.67275227241723e-33	6.13744338096853e-31	65.8490992094625
CCNA2	2.80627828260867	5.72824225274725	19.0101772093128	1.6961471928697e-33	6.13744338096853e-31	65.8353101948416
GINS1	3.48130383574877	5.51527351648352	18.9999178905969	1.76438272758965e-33	6.2876184474104e-31	65.796152236457
TEK	-1.52635369082127	5.34945137362637	-18.9035416407185	2.55727467740941e-33	8.97597135838092e-31	65.4276601931082
MYCT1	-1.59760600241547	5.68546005494505	-18.899735506463	2.59509376007612e-33	8.97597135838092e-31	65.4130837195445
HMMR	2.60024621497583	5.46731928571429	18.8726384077681	2.8811492331438e-33	9.82096086428146e-31	65.3092567293281
FEN1	2.10472220048306	7.23913928571429	18.8296627678636	3.40149331459136e-33	1.13658889641876e-30	65.1444000499514
KIF14	2.4029260869565	5.17362093406593	18.8274264061947	3.43102940670629e-33	1.13658889641876e-30	65.1358149248954
STX11	-2.43778032850243	6.18807554945055	-18.8071561361939	3.71082139398271e-33	1.21220165536769e-30	65.0579711997491
JAM2	-2.72568330917877	7.16437428571429	-18.7429702679767	4.75794867169906e-33	1.532971955594e-30	64.8111389506772
PLAC9	-1.80458698550726	6.25083252747253	-18.7388418355343	4.83471168092719e-33	1.53665430723523e-30	64.7952450150808
MARC2	-2.0290297777778	6.84658637362637	-18.7087167184032	5.43398163542398e-33	1.70409664086896e-30	64.6792023803174
CA4	-3.5445608067633	6.6732110989011	-18.6944608008655	5.74314771858792e-33	1.77735308343668e-30	64.6242485177222
TTK	3.45560851207727	5.38714956043956	18.6601919736005	6.56089053244899e-33	2.00405383536624e-30	64.492044151055
CCM2L	-1.23239388405799	5.78521532967033	-18.5801355271164	8.95912146816858e-33	2.67877343733465e-30	64.1826216152586
RASGRP2	-1.18735658454108	5.64206565934066	-18.5770689686561	9.06682010925811e-33	2.67877343733465e-30	64.1707531451499
NEK2	2.4381704396135	4.84441153846154	18.5758082625669	9.11147427664848e-33	2.67877343733465e-30	64.165873503337
CACNA2D2	-3.38568627536234	8.06383285714286	-18.5675141035952	9.41083242305606e-33	2.73262689617628e-30	64.1337654468736
PAICS	2.46434464734296	8.0153089010989	18.5466501914707	1.02084620829818e-32	2.92808570965526e-30	64.052959450564
BIRC5	2.75695070531398	5.57443098901099	18.5106193602772	1.17498443317167e-32	3.32959444195152e-30	63.9132826242662
NME1	1.96862541062798	9.78452043956044	18.4970996765101	1.23869888989304e-32	3.4683568917005e-30	63.8608300499232
TMEM100	-5.0728571835749	7.77902901098901	-18.4822634367605	1.31263491864914e-32	3.63213803372092e-30	63.8032430447453
VAPA	-2.18064784541064	5.68867538461538	-18.4738852710327	1.35633678303662e-32	3.70942338802574e-30	63.7707108309163
GLDN	-1.67972856280195	6.07609532967033	-18.3643326112705	2.08305886144606e-32	5.63144188749557e-30	63.3445037081318
KIF11	3.02292596618355	5.28913802197802	18.3488856335524	2.21323031482856e-32	5.91536102326905e-30	63.2842861050949
COX4I2	-1.87632651690823	6.62651703296703	-18.3392409997136	2.29863338565868e-32	6.07459070007776e-30	63.2466726935132
NUSAP1	2.99642071980674	6.5341760989011	18.323767304662	2.44264983583874e-32	6.38345823765857e-30	63.1863017141512
CENPE	2.33218507729467	5.15110318681319	18.3191196840461	2.4876574781781e-32	6.42963778975262e-30	63.1681629878674
NDC80	2.91118412560384	5.6516478021978	18.1627939548844	4.60445560360822e-32	1.17713908474854e-29	62.5564583487152
CDCA5	2.55869134782606	6.35983241758242	18.0931448368539	6.06365850756977e-32	1.53351879675313e-29	62.2829201256742
ANKRD29	-3.16236655555557	6.31486763736264	-18.0737935442499	6.54634443726668e-32	1.63486199103088e-29	62.2068106991362
CD36	-3.61073835748794	6.57200604395604	-18.0716019558952	6.60339664744617e-32	1.63486199103088e-29	62.1981880850421
PLA2G1B	-3.50319314492756	6.43219978021978	-18.0410862314722	7.45190902764477e-32	1.82571771177297e-29	62.0780630211147
