names	logFC	AveExpr	t	P.Value	adj.P.Val	B
GPM6A	-3.46547623338119	0.624855896945455	-17.5714949508051	9.19535847800275e-34	2.16274831402625e-29	66.1776170237238
TNXA /// TNXB	-2.26695022789401	0.533672195145454	-16.468898395901	1.65872317284696e-31	1.95065845126803e-27	61.0768950992476
AGER	-3.564954905347	0.809765437872727	-16.314534824206	3.4747303962248e-31	2.72418863064024e-27	60.3501424267727
IGSF10	-2.51745432847435	0.487565973977273	-15.9730723049454	1.80245253248943e-30	1.05984208910379e-26	58.7316409453057
PAFAH1B3	1.64799034766154	-0.389911733163636	15.9183911761598	2.3492591247676e-30	1.10509149229068e-26	58.4710754597966
GKN2	-3.67432282125811	0.968884307927273	-15.7551091532322	5.19364050888457e-30	2.03590707948275e-26	57.6907547192195
ADAMTS8	-2.62181456635726	0.603900640827273	-15.4497082868488	2.31022818078083e-29	7.76236668742358e-26	56.2222705462135
PYCR1	1.56160698879658	-0.213764606818182	15.3260295157673	4.2415997869551e-29	1.2470303373648e-25	55.6242816893045
LRRC36	-2.12272597899316	0.443356591318182	-15.1490524155158	1.01504546214738e-28	2.65265214107848e-25	54.7653324506009
MAMDC2	-3.6390119155094	0.964305716845455	-15.1022490029288	1.27929647764005e-28	3.00890531540939e-25	54.5375373864533
TGFBR3	-2.63318971260085	0.379589872186364	-15.0513474714901	1.64581659908045e-28	3.51905512821566e-25	54.2894959748032
TNNC1	-3.16141261211794	0.815922847081818	-14.9947775105483	2.17835720000005e-28	4.2695801120001e-25	54.013466501493
ACADL	-2.59973458115811	0.574903211168182	-14.9445801251912	2.79445210216494e-28	5.05580872637841e-25	53.7682102617292
FIGF /// PIR-FIGF	-3.33646401833846	0.857874694327273	-14.8834667910102	3.78579152322229e-28	6.36012975901345e-25	53.4692144225627
FAM107A	-2.98796762065299	0.744057942563636	-14.8247256090688	5.0707702287317e-28	7.9509677186513e-25	53.1814059944214
ARHGAP6	-1.14793313198119	0.278300287154545	-14.7177788424196	8.64139481836043e-28	1.27028503829898e-24	52.6563633335421
GOLM1	1.15210970270769	-0.0207555967545455	14.6666166302428	1.11566772064003e-27	1.47704526236098e-24	52.4047139541068
ITIH5	-1.81073873755897	0.397064037718182	-14.6639925257572	1.13039178241912e-27	1.47704526236098e-24	52.3917986457067
KCNK3	-2.13005333366495	0.486289788272727	-14.5989340397533	1.56498022287615e-27	1.93728078116037e-24	52.0713379564668
FCN3	-3.59152226481367	0.939510535636364	-14.4214105306676	3.81117482697945e-27	4.48194159652783e-24	51.1944204473329
RILPL2	-1.15776307510427	0.283432210509091	-14.3844819013465	4.58838118333602e-27	5.13898692533634e-24	51.0115506145231
STX12	-0.881683182520512	0.239476070686364	-14.3238193880948	6.22590595902283e-27	6.65605946164623e-24	50.7108160900003
CA4	-2.79823132864017	0.630189176104546	-14.2977159821064	7.10052008205301e-27	7.2610535795603e-24	50.58128084032
ZNF106	-1.03360536021538	0.176922103863636	-14.2390117475452	9.54535987082269e-27	9.35445267340624e-24	50.2896887449569
PIP5K1B	-1.08408862022649	0.256049612231818	-14.2042840884133	1.13732963969783e-26	1.06999972502772e-23	50.1170107388438
STARD13	-0.881177640172648	0.175184381472727	-14.1342666588156	1.61985800077866e-26	1.40694286989884e-23	49.7684535007855
PCAT19	-1.92389580905641	0.497567059	-14.1283965750546	1.66864488001966e-26	1.40694286989884e-23	49.739206783975
DPEP2	-1.73448601822051	0.435723835754545	-14.125878398232	1.69002342811025e-26	1.40694286989884e-23	49.7266592255677
LGI3	-1.40558136402393	0.255586887836364	-14.1203663938879	1.73778352825468e-26	1.40694286989884e-23	49.6991916077863
STX11	-1.96280662136837	0.463399100340909	-14.1140072828486	1.79456998711587e-26	1.40694286989884e-23	49.6674985137414
SYNE1	-1.4077263359641	0.3520745635	-14.0868259424474	2.05907485368338e-26	1.56224001802042e-23	49.5319798100823
