Accession	type
GSM773540	tumor
GSM773541	tumor
GSM773542	tumor
GSM773543	tumor
GSM773544	tumor
GSM773545	tumor
GSM773546	tumor
GSM773547	tumor
GSM773548	tumor
GSM773549	tumor
GSM773550	tumor
GSM773551	tumor
GSM773552	tumor
GSM773553	tumor
GSM773554	tumor
GSM773555	tumor
GSM773556	tumor
GSM773557	tumor
GSM773558	tumor
GSM773559	tumor
GSM773560	tumor
GSM773561	tumor
GSM773562	tumor
GSM773563	tumor
GSM773564	tumor
GSM773565	tumor
GSM773566	tumor
GSM773567	tumor
GSM773568	tumor
GSM773569	tumor
GSM773570	tumor
GSM773571	tumor
GSM773572	tumor
GSM773573	tumor
GSM773574	tumor
GSM773575	tumor
GSM773576	tumor
GSM773577	tumor
GSM773578	tumor
GSM773579	tumor
GSM773580	tumor
GSM773581	tumor
GSM773582	tumor
GSM773583	tumor
GSM773584	tumor
GSM773585	tumor
GSM773586	tumor
GSM773587	tumor
GSM773588	tumor
GSM773589	tumor
GSM773590	tumor
GSM773591	tumor
GSM773592	tumor
GSM773593	tumor
GSM773594	tumor
GSM773595	tumor
GSM773596	tumor
GSM773597	tumor
GSM773598	tumor
GSM773599	tumor
GSM773600	tumor
GSM773601	tumor
GSM773602	tumor
GSM773603	tumor
GSM773604	tumor
GSM773605	tumor
GSM773606	tumor
GSM773607	tumor
GSM773608	tumor
GSM773609	tumor
GSM773610	tumor
GSM773611	tumor
GSM773612	tumor
GSM773613	tumor
GSM773614	tumor
GSM773615	tumor
GSM773616	tumor
GSM773617	tumor
GSM773618	tumor
GSM773619	tumor
GSM773620	tumor
GSM773621	tumor
GSM773622	tumor
GSM773623	tumor
GSM773624	tumor
GSM773625	tumor
GSM773626	tumor
GSM773627	tumor
GSM773628	tumor
GSM773629	tumor
GSM773630	tumor
GSM773631	tumor
GSM773632	tumor
GSM773633	tumor
GSM773634	tumor
GSM773635	tumor
GSM773636	tumor
GSM773637	tumor
GSM773638	tumor
GSM773639	tumor
GSM773640	tumor
GSM773641	tumor
GSM773642	tumor
GSM773643	tumor
GSM773644	tumor
GSM773645	tumor
GSM773646	tumor
GSM773647	tumor
GSM773648	tumor
GSM773649	tumor
GSM773650	tumor
GSM773651	tumor
GSM773652	tumor
GSM773653	tumor
GSM773654	tumor
GSM773655	tumor
GSM773656	tumor
GSM773657	tumor
GSM773658	tumor
GSM773659	tumor
GSM773660	tumor
GSM773661	tumor
GSM773662	tumor
GSM773663	tumor
GSM773664	tumor
GSM773665	tumor
GSM773666	tumor
GSM773667	tumor
GSM773668	tumor
GSM773669	tumor
GSM773670	tumor
GSM773671	tumor
GSM773672	tumor
GSM773673	tumor
GSM773674	tumor
GSM773675	tumor
GSM773676	tumor
GSM773677	tumor
GSM773678	tumor
GSM773679	tumor
GSM773680	tumor
GSM773681	tumor
GSM773682	tumor
GSM773683	tumor
GSM773684	tumor
GSM773685	tumor
GSM773686	tumor
GSM773687	tumor
GSM773688	tumor
GSM773689	tumor
GSM773690	tumor
GSM773691	tumor
GSM773692	tumor
GSM773693	tumor
GSM773694	tumor
GSM773695	tumor
GSM773696	tumor
GSM773697	tumor
GSM773698	tumor
GSM773699	tumor
GSM773700	tumor
GSM773701	tumor
GSM773702	tumor
GSM773703	tumor
GSM773704	tumor
GSM773705	tumor
GSM773706	tumor
GSM773707	tumor
GSM773708	tumor
GSM773709	tumor
GSM773710	tumor
GSM773711	tumor
GSM773712	tumor
GSM773713	tumor
GSM773714	tumor
GSM773715	tumor
GSM773716	tumor
GSM773717	tumor
GSM773718	tumor
GSM773719	tumor
GSM773720	tumor
GSM773721	tumor
GSM773722	tumor
GSM773723	tumor
GSM773724	tumor
GSM773725	tumor
GSM773726	tumor
GSM773727	tumor
GSM773728	tumor
GSM773729	tumor
GSM773730	tumor
GSM773731	tumor
GSM773732	tumor
GSM773733	tumor
GSM773734	tumor
GSM773735	tumor
GSM773736	tumor
GSM773737	tumor
GSM773738	tumor
GSM773739	tumor
GSM773740	tumor
GSM773741	tumor
GSM773742	tumor
GSM773743	tumor
GSM773744	tumor
GSM773745	tumor
GSM773746	tumor
GSM773747	tumor
GSM773748	tumor
GSM773749	tumor
GSM773750	tumor
GSM773751	tumor
GSM773752	tumor
GSM773753	tumor
GSM773754	tumor
GSM773755	tumor
GSM773756	tumor
GSM773757	tumor
GSM773758	tumor
GSM773759	tumor
GSM773760	tumor
GSM773761	tumor
GSM773762	tumor
GSM773763	tumor
GSM773764	tumor
GSM773765	tumor
GSM773766	normal
GSM773767	normal
GSM773768	normal
GSM773769	normal
GSM773770	normal
GSM773771	normal
GSM773772	normal
GSM773773	normal
GSM773774	normal
GSM773775	normal
GSM773776	normal
GSM773777	normal
GSM773778	normal
GSM773779	normal
GSM773780	normal
GSM773781	normal
GSM773782	normal
GSM773783	normal
GSM773784	normal
GSM773785	normal
