names	logFC	AveExpr	t	P.Value	adj.P.Val	B
COL10A1	4.55228820585981	10.9262679888433	13.7763866940966	2.06806867296638e-32	4.86409751881694e-28	62.7688047986056
FZD4	-1.65589208162706	8.32365360653389	-12.5223831700509	3.53567441116608e-28	4.15795310753131e-24	53.221737705606
MNX1	3.88282673055801	6.99848591627153	12.4257142024961	7.44159341551735e-28	5.34090321328109e-24	52.492664395783
HSPA12B	-1.95826953645925	7.33489035117871	-12.3997926572183	9.08316873006989e-28	5.34090321328109e-24	52.2973715638194
HYAL2	-1.31778917992324	9.82163284153547	-12.1285171540735	7.27386772815606e-27	3.38644426309441e-23	50.2591169046101
OCIAD2	2.07829139655876	12.2221562863403	12.1060282891869	8.63888842626125e-27	3.38644426309441e-23	50.090618249702
STARD8	-1.47994920312324	8.07494594019054	-12.0559421467347	1.2667430241096e-26	4.18984768354826e-23	49.7156186245758
CDH5	-2.19634565278589	9.66928664010963	-12.0324470501904	1.51568202546629e-26	4.18984768354826e-23	49.5398399428705
NES	-1.65311321712835	8.57918765429224	-12.0250887985412	1.60325804217408e-26	4.18984768354826e-23	49.4848065693837
RTKN2	-3.48849456038588	6.10125820382503	-11.9659064892043	2.51813690316381e-26	5.92265799624127e-23	49.0424796769357
CCM2L	-1.78625799176356	7.78093601491993	-11.9048420673335	4.00990931354589e-26	8.31815868016734e-23	48.5866652647441
SASH1	-1.67822697945598	9.98210244919998	-11.8939424513787	4.35684716987987e-26	8.31815868016734e-23	48.5053681658732
TMPRSS4	5.1825357106461	7.87882033108815	11.8868755756412	4.59762171948025e-26	8.31815868016734e-23	48.4526686574386
GRK5	-1.74867637081565	6.82367877388715	-11.6741609046355	2.31197304390937e-25	3.88411471376773e-22	46.8702965812512
KCNK3	-2.67301249793369	7.32433027818255	-11.6141321836288	3.6417651625404e-25	5.45540323616757e-22	46.4251576216745
MMRN2	-1.90734586887727	8.47827430107882	-11.6107434715257	3.73631121775368e-25	5.45540323616757e-22	46.4000479901279
SERTM1	-3.96217961961688	5.41023548500864	-11.6036201584447	3.9431060805633e-25	5.45540323616757e-22	46.347272487273
BTNL9	-2.10980794817035	6.76174560224325	-11.5404067219247	6.35734938122711e-25	8.04227574369734e-22	45.87933672428
FOXF1	-2.45053581494654	9.24742275176802	-11.5375340528764	6.49673635757863e-25	8.04227574369734e-22	45.8580892055963
CA4	-3.69443068977377	6.00053760141468	-11.4184581343906	1.59417803568151e-24	1.87475336996145e-21	44.9787060403295
RAPGEF4	-1.95063221431469	7.42945495907525	-11.396650362905	1.87847395405092e-24	2.10389082853703e-21	44.8179455526897
ROBO4	-2.45686592813534	8.55704547182758	-11.3875499206503	2.01156354025489e-24	2.15054429394523e-21	44.7508868828083
RASIP1	-2.16872551920014	6.97488421490673	-11.3482818718843	2.70228048781058e-24	2.7633755249263e-21	44.4617159213423
PPM1F	-1.31726945123862	8.77175749645608	-11.3051670611609	3.73536073616992e-24	3.66065352144652e-21	44.1445659345213
FENDRR	-1.9064081587481	6.32527885930932	-11.2180716444997	7.17568295663559e-24	6.75088252560276e-21	43.5050312278527
ARHGEF26	-2.00796128141513	6.94864704801358	-11.1431161473319	1.25698399301408e-23	1.12909078883584e-20	42.9558808568994
PTPRB	-2.15443455726076	7.83146933601312	-11.1390090818802	1.29615014024522e-23	1.12909078883584e-20	42.9258248426181
STARD13	-1.38188689043917	7.78320317216891	-11.0292591155171	2.93875862635119e-23	2.468557246135e-20	42.1239876746377
CLDN22 /// WWC2	-1.54262955326495	8.69299512208827	-11.0169477723149	3.22086761935253e-23	2.61223470369557e-20	42.0342022314707
FGD5	-1.60170002058396	8.96284169009113	-10.9532526803108	5.1724962260814e-23	4.05523704124782e-20	41.5702110033675
ECSCR	-2.04714808700786	8.63582183279344	-10.930239209334	6.1366916955644e-23	4.6559673767637e-20	41.4027888990191
VMP1	1.60044894567153	12.0885959964299	10.8341042148265	1.25161520513324e-22	9.19937175772933e-20	40.7047035284718
S1PR1	-2.20779745146305	9.77626592270864	-10.8157681208746	1.43352338733918e-22	1.02171121424902e-19	40.5717960106512
RASAL1	1.82094944920727	5.82125241255511	10.805362838244	1.54822201025348e-22	1.07100534356358e-19	40.4964089210433
NOTCH4	-1.45904030961507	7.000937392846	-10.7165440137852	2.98349902602433e-22	1.95440961798138e-19	39.8539429620598
