names	logFC	AveExpr	t	P.Value	adj.P.Val	B
CA4	-3.68844394385517	8.39510261424248	-16.937452120258	1.80322618980431e-24	2.43706019552052e-20	45.044696189249
AGER	-5.10307964953088	9.75735114757236	-15.7685934334511	5.97281214879388e-23	4.03612780954746e-19	41.6849533401679
GRK5	-2.28713738448874	9.27153427737941	-15.014849111507	6.2251364529337e-22	2.80442397204663e-18	39.425018796156
FAM107A	-4.02330838517205	9.26550427394064	-14.5224349983101	2.9898189038364e-21	1.01018506213372e-17	37.9079881679112
EMP2	-2.33227639879082	11.7182788132268	-13.5584095804665	7.05235458378374e-20	1.90625144399674e-16	34.843350507025
GPM6A	-3.43165595755639	7.33259539495513	-13.4109672975483	1.15563474406013e-19	2.60306726099544e-16	34.3634900799517
FABP4	-4.61872008600516	9.60543920247467	-13.3651051500748	1.34829162598998e-19	2.6031659036078e-16	34.213624182558
SPOCK2	-2.12417855918055	9.6829724195735	-13.2066977284004	2.30131520674559e-19	3.88778437739583e-16	33.693781875222
RAMP2	-4.0125311558629	7.94126394062143	-13.1541958217378	2.74942378614243e-19	4.12871805219055e-16	33.5207323333208
FCN3	-4.62956963461527	10.1823131493311	-13.1051700501117	3.24735921639387e-19	4.38880598095632e-16	33.3588010044983
PYCR1	2.24686028850052	9.02783233352769	12.9163987901725	6.18195398198024e-19	7.59537346058754e-16	32.7322340737157
HIGD1B	-3.67029844043706	8.27419075514937	-12.6036646218876	1.81424530658093e-18	2.04329377653677e-15	31.6835455264314
EFCC1	-3.64105293537659	6.14915808086832	-12.5732425637274	2.01590712031579e-18	2.09576805623599e-15	31.5808234463548
GPM6B	-2.3369590582137	7.99960737940285	-12.3991047693861	3.69381382797087e-18	3.56584956321617e-15	30.9904281083155
CLEC3B /// EXOSC7	-4.76410528715817	9.89828905099917	-12.1232865567768	9.7158625118171e-18	8.75399212314721e-15	30.0469447112971
SOSTDC1	-4.69494386459278	6.98006791010158	-12.08549969176	1.11006435021576e-17	9.37657480822876e-15	29.9168949955613
RASIP1	-2.19104479844384	9.27493640964706	-12.0594497368738	1.21698906470299e-17	9.54252878560557e-15	29.8271289367859
KANK3	-3.04696647366221	7.37448625062905	-12.0471741306139	1.27092503248909e-17	9.54252878560557e-15	29.7847968519169
PTPRB	-2.47905571581102	7.67688925506857	-11.9909708292541	1.55043130872571e-17	1.10284627039095e-14	29.5907253946517
EDNRB	-2.84876922586111	8.4976636306972	-11.7197237720616	4.06939648389604e-17	2.74989467399275e-14	28.6482268284971
AHNAK	-2.44702813509	11.1052445200157	-11.5332449419218	7.94234511129365e-17	4.9709303079455e-14	27.994676140206
TNNC1	-5.29985065078549	7.61982408991954	-11.5280638667442	8.09178444504633e-17	4.9709303079455e-14	27.9764535794707
ABCA8	-3.51595900793171	8.80391305436971	-11.4580540835564	1.04130202214977e-16	6.118781230154e-14	27.7298795631581
LOC101927458 /// LPHN2	-2.08563870155702	9.07248461388571	-11.4131296433706	1.22461560808674e-16	6.89611664303846e-14	27.5713235386875
ADAMTSL3	-2.39667831323843	8.0407348814607	-11.3462040737019	1.5599477986943e-16	8.43307779974138e-14	27.3346371046786
KAL1	-3.06717813308305	10.3046052903548	-11.1969815992001	2.68115518212566e-16	1.39368508793955e-13	26.8048496334227
SGCG	-3.30082606151477	5.77778840977689	-11.1781866320792	2.87098035514704e-16	1.43708516665971e-13	26.7379218261306
RAMP3	-2.53178016531044	9.97633068793295	-11.1416149687865	3.28012181095221e-16	1.58324450982211e-13	26.6075649653748
TMEM100	-4.5508034349408	9.14114576527752	-11.10721504104	3.71858119617065e-16	1.73298706435332e-13	26.4847960860635
FOXF1	-2.18853494869943	8.88918189147254	-11.0571756900628	4.46422229677145e-16	2.01113214469554e-13	26.3059483626604
AKAP2 /// PALM2-AKAP2	-2.00043126530249	10.3918358025627	-11.014992431777	5.2089953418923e-16	2.24180906387763e-13	26.1549375843159
SH3BP5	-1.42336100563457	10.3082891049784	-11.0098477591939	5.30801998106431e-16	2.24180906387763e-13	26.1365052144259
SASH1	-1.34913954009855	9.96531291185802	-10.8950231049431	8.08767699500575e-16	3.31227135113644e-13	25.7242619432244
CAV1	-2.92580767491135	11.4144515395268	-10.8423377969375	9.81668263653967e-16	3.79351295416516e-13	25.5345709751836
AOC3	-2.90117282944901	9.57253199622066	-10.8421320800419	9.82411789831894e-16	3.79351295416516e-13	25.5338296393473
CASKIN2	-1.39118907624841	8.29574123561005	-10.8290571881035	1.03085281134355e-15	3.82903252088234e-13	25.4867015064783
TEK	-2.33390408414473	7.98957665432114	-10.8198019102448	1.06659236054973e-15	3.82903252088234e-13	25.4533285527712
FIGF /// PIR-FIGF	-3.49322771787449	9.02278222626652	-10.8172649113262	1.0766055182651e-15	3.82903252088234e-13	25.4441787556335
MME	-3.23851714376785	7.01465434877943	-10.7361139059653	1.45222718289263e-15	5.03252573763945e-13	25.151094418206
RGCC	-3.09245829074466	11.7374154691793	-10.7077203309957	1.61283415283972e-15	5.4493633939072e-13	25.04836164353
FAM189A2	-1.75053040501162	9.53518329091082	-10.6850745623524	1.75368550360998e-15	5.78074623933873e-13	24.9663563991593
KLF2	-2.05845519575642	10.5784662853231	-10.6309308382404	2.14285340316941e-15	6.77704031074955e-13	24.7700431414684
SLC6A4	-3.02064254632535	8.44892056093411	-10.625747439537	2.18440323767908e-15	6.77704031074955e-13	24.7512310685775
SRD5A1	2.01688136713654	7.4068315988534	10.6230481083696	2.20636162540126e-15	6.77704031074955e-13	24.7414331485136
SYNM	-1.53618810182012	9.23119720171046	-10.5873652820409	2.51844644622827e-15	7.56373416017223e-13	24.6118324160366
STARD13	-1.66657092179817	8.38421144838317	-10.4837203513912	3.70145821820052e-15	1.08750451780391e-12	24.2345469575218
