names	logFC	logCPM	PValue	FDR
VDAC1	0.764437213243977	7.73028833410811	7.5756404913184e-76	1.49118907431111e-71
S100A8	3.23907447400147	7.94556921937708	9.2105851913724e-69	1.81291948321783e-64
ITLN1	-5.80809582917919	6.34381231144941	2.02304704060415e-54	3.98176118531708e-50
SLC2A1	1.58318925097038	7.17595333986091	1.57346856790274e-49	3.09674348848938e-45
GAPDH	0.997447331665346	11.4433306243545	8.38756355722392e-47	1.65067250806167e-42
ABAT	-1.39643123229618	3.86108015580873	2.45839073802195e-45	4.8378671333534e-41
NTS	5.70027748629898	7.64694017731637	2.13599570811631e-44	4.20321235443127e-40
IGFBP1	4.12468162148499	4.05605265517169	3.25219526782828e-43	6.39934462850571e-39
LDHA	0.807669889113304	9.00691354582915	8.0476070206187e-43	1.58344715737693e-38
NAMPT	1.29001282778832	6.90142215825021	1.52153830232958e-41	2.99362660983344e-37
PRG4	-2.99050205366205	4.60186643826361	1.96501713286275e-40	3.86597470719418e-36
HSD17B6	-1.79261809640186	5.50307879487293	2.02700005230357e-39	3.98771720289682e-35
PFKP	1.13410099824068	7.10647223422026	2.86216403933937e-39	5.63044909818841e-35
RHCG	3.21716101494008	3.4766391958349	6.74046551495094e-39	1.325916971446e-34
STC1	1.61650512146135	5.27060916209609	1.07204783732475e-38	2.10871809601778e-34
CCNB1	1.10694078690576	6.08271740735938	6.1571853753555e-38	1.21105679147867e-33
PI3	3.19174742233393	6.75468741433269	8.61980830045078e-38	1.69534389653266e-33
RHOV	1.95488902168754	6.26629622338617	1.49594810483519e-37	2.94208113777937e-33
RSPO3	2.40470719963302	4.24740496026138	2.21899584552706e-37	4.36387722981351e-33
KRT6B	3.30966275055113	3.94861229425038	3.01335224253517e-37	5.92575718494541e-33
ERO1L	0.964153118551036	6.94833302145046	4.53614749122427e-37	8.91988042674341e-33
LYPD3	1.94844360252299	5.14795458608855	8.24756441770091e-37	1.62171859145253e-32
HMMR	1.14431106660655	4.42561479390411	1.90657292748505e-36	3.74870369002111e-32
FAM83A	1.7075398729054	6.5990654742657	3.71904321039454e-36	7.31201085595671e-32
ARNTL2	1.46622299105009	4.75911071379529	2.19365187308769e-35	4.3127195824904e-31
S100A7	4.27916945071311	4.96340757890744	3.30904150857187e-35	6.50524470170143e-31
PGK1	0.779173004706071	8.80953339233445	3.69182417680307e-35	7.25738796675947e-31
NFIX	-1.06337101512437	5.74273501432011	4.65456044713688e-35	9.14946947093697e-31
AFP	4.61574845109508	3.69935608466397	6.22556801300703e-35	1.22369764863666e-30
S100A9	2.06194833692734	11.1727946907202	1.1226778310316e-34	2.20662327689262e-30
VTN	3.3350605866462	4.72038159500105	1.67997610848421e-34	3.30182504361486e-30
AKAP12	1.7651472859139	5.12014459152388	1.79385025166801e-34	3.52545389960315e-30
RRM2	1.12041314562161	5.56920478381421	2.61142736297802e-34	5.1319770537244e-30
ADH1B	-1.80309254566355	5.0616652952641	5.1163225928339e-34	1.00540855271779e-29
ANLN	1.21509232301052	5.21065550270287	1.03075228297261e-33	2.02542823604117e-29
CCNA2	1.09121378378172	5.12064047784802	1.47972616487731e-33	2.90751394136743e-29
VDAC2	0.594161358844091	6.38080168933763	8.88170807260123e-33	1.74507800210469e-28
SUSD2	-1.86440217039871	7.09311190788354	1.06442685975672e-32	2.09127945136403e-28
PLOD2	1.27165955950541	6.11210515137932	1.39132142414557e-32	2.73339006987638e-28
WFDC12	-3.78261997324358	4.0642529374371	1.59443559049675e-32	3.13226871753087e-28
SHCBP1	0.968813188667822	4.04534697408668	1.95182695834595e-32	3.83416887697479e-28
