ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	10	-0.769531355	-1.728817359	0.012431442	0.069494756	0.05208131	2725	"tags=70%, list=14%, signal=60%"	GGT5/GGT1/CDO1/GGT7/CSAD/BAAT/GGT6
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	19	-0.688243626	-1.821831121	0.003901855	0.031903542	0.023909405	2868	"tags=47%, list=15%, signal=41%"	PLA2G4B/PLA2G2A/PLA2G4E/PLA2G6/JMJD7-PLA2G4B/PLA2G10/PLA2G3/PLA2G12B/PLA2G1B
KEGG_ASTHMA	KEGG_ASTHMA	KEGG_ASTHMA	28	-0.632486369	-1.79922724	0.001159559	0.014223921	0.010659803	3097	"tags=57%, list=16%, signal=48%"	HLA-DQA2/EPX/HLA-DMB/HLA-DQA1/HLA-DRA/HLA-DPA1/HLA-DOB/HLA-DRB1/HLA-DRB5/HLA-DPB1/HLA-DQB1/HLA-DMA/CD40LG/HLA-DOA/MS4A2/FCER1A
KEGG_LINOLEIC_ACID_METABOLISM	KEGG_LINOLEIC_ACID_METABOLISM	KEGG_LINOLEIC_ACID_METABOLISM	29	-0.560820432	-1.616378086	0.015325071	0.075484532	0.056570216	2385	"tags=38%, list=12%, signal=33%"	PLA2G2A/CYP2C8/PLA2G4E/PLA2G6/JMJD7-PLA2G4B/PLA2G10/PLA2G3/CYP1A2/PLA2G12B/ALOX15/PLA2G1B
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM	30	-0.516929076	-1.496588555	0.043007045	0.149307477	0.111895191	2868	"tags=33%, list=15%, signal=29%"	PLA2G4B/LPCAT1/PLA2G2A/PLA2G4E/PLA2G6/JMJD7-PLA2G4B/PLA2G10/PLA2G3/PLA2G12B/PLA2G1B
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	58	-0.468566493	-1.551136909	0.012281064	0.069494756	0.05208131	2385	"tags=38%, list=12%, signal=33%"	PLA2G4B/GGT5/PLA2G2A/CYP2C8/GGT1/PTGIS/PLA2G4E/CYP2U1/PLA2G6/GGT7/EPHX2/HPGDS/CBR1/JMJD7-PLA2G4B/PLA2G10/GGT6/ALOX15B/PLA2G3/PTGDS/PLA2G12B/ALOX15/PLA2G1B
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	42	-0.453479745	-1.422197333	0.034647727	0.12259965	0.0918796	3067	"tags=38%, list=16%, signal=32%"	PIK3R5/SLC9A3R2/PIK3CG/PIK3CD/PIK3R1/PDPK1/PRKCB/NEDD4L/SCNN1B/KCNJ1/HSD11B2/ATP1A3/NR3C2/ATP1B2/ATP1A2/INS
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY	56	-0.446499994	-1.482633562	0.018020386	0.080871976	0.060607716	3550	"tags=34%, list=18%, signal=28%"	BMP8B/DHH/WNT4/WNT8B/STK36/IHH/PTCH2/WNT10A/WNT16/WNT6/LRP2/WNT2B/BMP5/WNT11/BMP4/PTCH1/SHH/WNT3A/HHIP
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	79	-0.438759317	-1.538454853	0.009332066	0.063596304	0.047660846	3541	"tags=32%, list=18%, signal=26%"	PLCG1/PIK3R5/INPP5D/BTK/LAT/PIK3CG/PIK3CD/PLA2G4B/PIK3R1/PDPK1/PLA2G2A/FYN/PLCG2/PRKCB/PLA2G4E/PRKCE/PLA2G6/JMJD7-PLA2G4B/MAPK10/PLA2G10/MS4A2/PLA2G3/FCER1A/PLA2G12B/PLA2G1B
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	72	-0.423073724	-1.462003511	0.02068233	0.086489744	0.064817829	3121	"tags=29%, list=16%, signal=25%"	DGKD/PGS1/MBOAT1/CRLS1/PLA2G4B/CHKB/CHKA/LPCAT1/PLA2G2A/PCYT1B/DGKB/PLA2G4E/PLA2G6/LCAT/GPD1/JMJD7-PLA2G4B/GPD1L/PLA2G10/PLA2G3/PLA2G12B/PLA2G1B
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY	76	-0.39249936	-1.368878522	0.050761383	0.172964712	0.129624584	3541	"tags=29%, list=18%, signal=24%"	PLCG1/PIK3R5/NFATC1/PIK3CG/PIK3CD/PLA2G4B/PIK3R1/KDR/PLA2G2A/NFATC2/PLCG2/PRKCB/NFAT5/NFATC3/PLA2G4E/NOS3/PLA2G6/JMJD7-PLA2G4B/PLA2G10/PLA2G3/PLA2G12B/PLA2G1B
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	128	-0.377538937	-1.425434063	0.012370849	0.069494756	0.05208131	4659	"tags=44%, list=24%, signal=34%"	HLA-E/SDC3/CLDN19/ICAM2/ITGA4/MAG/ALCAM/HLA-G/CDH15/SIGLEC1/PTPRC/CD6/CLDN11/CLDN3/CLDN23/CNTNAP1/SELE/HLA-DQA2/CD28/HLA-DMB/ITGAL/HLA-DQA1/ICAM3/PECAM1/HLA-DRA/SDC1/ICAM1/NEGR1/CLDN15/SPN/OCLN/CD34/CDH5/HLA-DPA1/HLA-DOB/HLA-DRB1/CLDN16/CADM3/HLA-DRB5/NRXN3/NFASC/HLA-DPB1/HLA-DQB1/CLDN18/HLA-DMA/CD40LG/JAM2/HLA-DOA/ESAM/CADM1/SELP/CD22/ITGA9/ITGA8/CLDN9/CLDN2
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	261	0.356397766	1.358724359	0.017705629	0.080871976	0.060607716	3581	"tags=27%, list=18%, signal=23%"	IL1A/CXCL5/IL1R2/IL20RB/CCL26/TNFSF11/CXCL8/CCL20/CCL7/VEGFC/CXCL11/CCL8/CXCL10/IL11/LEP/BMP7/CXCL6/CD70/IFNE/CCL24/CSF2/IL23A/IL1B/IFNG/IL22RA1/IL2RA/CCL11/BMPR1B/MET/IL15RA/PPBP/CCL21/CXCL9/IL12RB2/INHBA/CCL4/TNFRSF9/TNFSF9/IL6/CCL3/TNFSF4/CLCF1/LTBR/CCL22/CCL5/TNFRSF10D/CXCR1/XCL2/CXCL1/TNFRSF21/CCL15/LIF/IL18R1/CCL13/TNFRSF1A/IL15/TNFRSF10A/TNFRSF8/TGFBR1/FASLG/TNFRSF12A/PF4/TNF/TNFRSF10B/EDAR/OSMR/EGF/TNFRSF11A/CCR3/TNFRSF18/PF4V1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	102	0.401310754	1.351666395	0.053208138	0.178005406	0.133402221	2618	"tags=18%, list=13%, signal=15%"	LBP/CXCL8/CXCL11/CXCL10/SPP1/IL1B/CXCL9/CCL4/IL6/CCL3/STAT1/CCL5/IRAK1/MAP2K6/MAP2K1/CD14/FADD/TICAM1
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	129	0.405557009	1.410405261	0.019679115	0.085411318	0.064009626	5175	"tags=41%, list=26%, signal=30%"	UBE2C/CDC20/UBE2S/BIRC3/CBLC/BRCA1/UBA2/UBE2E3/UBE2M/UBE2L6/UBE2N/UBE2F/NEDD4/UBA6/RNF7/UBE2D1/PML/SKP2/UBE2E1/UBE2QL1/ANAPC11/PRPF19/UBE3C/UBE2D2/ANAPC7/CUL2/CDC27/CDC34/UBE2L3/UBE2R2/UBE2K/SAE1/SKP1/UBE2Z/UBE2B/ERCC8/UBA3/ANAPC10/CUL4B/WWP1/UBE2G1/ANAPC5/FANCL/CUL1/UBE2A/SMURF1/UBE2E2/CDC26/UBA1/CDC23/ANAPC1/UBE2D3/UBE2H
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	69	0.46136359	1.483397505	0.023345558	0.093382232	0.069983252	2250	"tags=26%, list=11%, signal=23%"	FABP7/PCK1/APOA1/APOA2/ANGPTL4/FABP1/MMP1/APOC3/PPARG/FABP5/ME1/ACSL4/SLC27A2/GK/FABP6/SLC27A4/ACSL3/SCD
