names	logFC	logCPM	PValue	FDR
VDAC1	1.65243575880483	7.64895164933872	1.54783571045664e-73	3.05109375245213e-69
SCN7A	-3.12221317725846	5.17507519503736	1.60981583228395e-34	3.1731079870149e-30
LRP2BP	-2.71974195749901	3.42486930096429	6.04191075536711e-34	1.19086060988286e-29
LMNB1	1.83718697522747	5.34347957127338	7.52986519109859e-34	1.48406113051362e-29
PFKP	2.38376210134165	7.51782610486944	8.26162434508293e-34	1.62820092592894e-29
FMO2	-3.1220582171566	6.52842478733006	2.40014629708292e-31	4.72996830766131e-27
GUCY1A2	-2.69810301188576	4.77148008682418	3.14860685954463e-31	6.20464467741865e-27
DAPK2	-2.20177234607282	5.06382298637755	5.48577010402592e-31	1.08097099899831e-26
RANBP3L	-2.62558837563878	0.761045122335392	8.58793623432127e-31	1.69216695561066e-26
ITGA8	-2.40406301849018	4.79781547569581	2.13538904571099e-30	4.20735703676437e-26
EDNRB	-3.14637970028549	5.78144654161711	3.51024961875818e-30	6.91589379887736e-26
KIAA0408	-3.62724210691575	-0.0763471522947323	9.11412191332114e-30	1.7955731581434e-25
NECAB1	-3.21198723185866	3.21745185675207	1.08344059731513e-29	2.1343779767108e-25
INMT	-3.45436376785609	6.47285329164409	2.59556570023324e-29	5.11300487288947e-25
SMOX	2.3522905937596	4.06300445509006	3.24617645194816e-29	6.39431837504748e-25
ABCA8	-3.03860829126578	4.45847157673784	6.98855278416282e-29	1.37653524189655e-24
EMCN	-2.52974860143451	4.81111088988834	1.05936588259662e-28	2.0865270423623e-24
ANKRD44	-1.88716022206755	5.09131357721644	1.7005049227885e-28	3.34914444543195e-24
ABI3BP	-2.58121921997272	5.851769504966	1.73108643808551e-28	3.40920163116561e-24
C1QTNF7	-2.91479363826261	2.89741118688847	2.02065804396729e-28	3.97928188598479e-24
LMNB2	1.547649099139	6.12128592356876	2.81811611898626e-28	5.54943426150775e-24
ANGPTL1	-2.90572762204292	2.77210164107578	4.36838488680144e-28	8.60178668060071e-24
PLCL1	-1.91836925656608	2.69888348986954	6.29325821113365e-28	1.23914254177222e-23
ACTN2	-2.94767656836128	0.633053111564788	9.30628590193387e-28	1.83231463123176e-23
SLC6A4	-6.17530283013398	5.63567859698782	1.07375409928755e-27	2.11400707067733e-23
KCNA4	-4.77787538410954	-0.00150065847181772	1.16434944461512e-27	2.29225475161379e-23
SCAI	-1.59967378878538	4.43126218775733	1.36610028217276e-27	2.68930501548529e-23
TACC3	1.64133004468321	5.52237668048961	1.49687935522039e-27	2.94660701075135e-23
NOP2	1.48309508806068	5.50845439218475	3.08550129679609e-27	6.07350075261342e-23
RTKN2	-3.49151472732223	6.41194821547323	3.91036821544516e-27	7.69677775846071e-23
N4BP2L1	-1.5312424468178	4.22650437322677	7.82113902755289e-27	1.53935658340296e-22
SGCG	-3.71045604218518	0.565801469781294	8.2395286843313e-27	1.62162164036324e-22
CYBRD1	-1.9955764359128	7.75314378331538	8.84434684170302e-27	1.74056745844715e-22
SOGA3	-2.80863863274016	-0.776003880809985	8.86026467670117e-27	1.74361148572802e-22
TIMELESS	1.5631438949926	5.39412821145957	1.25379324871732e-26	2.46721435482594e-22
PLEKHH2	-2.30436050446449	5.22312916118063	1.29740151773205e-26	2.55289696644136e-22
ANGPT1	-2.3425781991364	4.50104081562475	1.5674715424839e-26	3.08415700699131e-22
PKP3	1.72690424094579	6.24565346673749	1.8170539758126e-26	3.57505369741128e-22
HSPA4	0.890871381874458	6.97862042907124	2.04634918442176e-26	4.02598738543137e-22
CACNB4	-2.76132540327404	2.77001932269339	2.26324578445874e-26	4.45248343176568e-22
SDPR	-2.87410952845316	6.87819623155834	2.47405903909036e-26	4.86696894169855e-22
ZBTB20	-3.99794392103349	3.11356432304942	2.6751149930612e-26	5.26221870285068e-22
TMEM100	-3.96944340822061	5.37715852746533	2.72199709981603e-26	5.35416829533813e-22
PDE5A	-1.98344021664197	5.26101875282075	2.9656349693494e-26	5.83310742121334e-22
CD302	-1.7885048285263	4.60247021570727	3.13291487092214e-26	6.16181696812967e-22
STARD9	-2.27090327384353	4.06558818270332	1.27219032737909e-25	2.50201671685646e-21
NCAPD2	1.46128344801383	6.49312685913608	1.30371710283292e-25	2.56389005443123e-21
JAM2	-2.15480081996292	4.43300766602854	2.44753627497553e-25	4.81308008473938e-21
COL4A3	-2.46180009918614	5.23914900803224	4.7085279589064e-25	9.25884937839354e-21
HSD17B6	-3.02085163500003	5.57183448350357	4.76200596257703e-25	9.36353232421521e-21
ERVFRD-1	-3.45325079041758	-0.0110450802022874	4.82758831181568e-25	9.49200413869199e-21
DLC1	-2.44898428470072	7.14575843748078	5.07001253072615e-25	9.96815163666068e-21
FEN1	1.53935386446234	4.91681137258442	5.21304512403313e-25	1.02488467138491e-20
FHL5	-2.61900019416167	2.46400799876175	5.37650515659071e-25	1.05696714873417e-20
CALCRL	-2.29244246935096	6.22614097700519	5.74360747321167e-25	1.12907835708395e-20
PREX2	-2.52238568115231	4.1481026242279	5.89098643677886e-25	1.15799120387762e-20
PLK1	2.32864253343111	4.73748186526062	6.54821815995963e-25	1.28711776152167e-20
ART4	-2.71838616042398	1.53081934386316	7.44046118449189e-25	1.46242264581188e-20
MAMDC2	-3.03516418467966	4.47739194296201	7.87382673161644e-25	1.54752190583189e-20
FAM107A	-3.82941894383072	5.92792193816591	8.84537975371182e-25	1.73838248299698e-20
FOXM1	2.5091234924833	5.19597915188607	9.32868237677436e-25	1.8332726606837e-20
SYNPO2	-2.1513116475139	4.93452999157153	1.00534930056424e-24	1.97561191053878e-20
TTN	-3.55501866457555	5.69734759187514	1.21518209135446e-24	2.38783280951152e-20
ATP1A2	-2.79006171235342	1.97539354796364	1.69613262488256e-24	3.33273099463175e-20
MAB21L2	-6.25729066019224	-0.225173869748737	1.99647484984185e-24	3.92267378496927e-20
PITX1	3.55574035023082	3.89513150995918	2.00658868549278e-24	3.94234479038767e-20
RGS13	-2.56753111470039	1.17785424704564	2.05421472956188e-24	4.03571025769727e-20
MCM4	1.90024612050436	6.52187704719091	2.27178017401505e-24	4.46291215185257e-20
UHRF1	2.2700119746337	3.80896061414641	2.61016146457682e-24	5.1274011810147e-20
RORA	-1.99228661453907	5.19418562109659	2.98391576645755e-24	5.86130574005256e-20
DHX37	1.18286542700395	4.81574948650664	3.12243786508349e-24	6.13309245459699e-20
TEK	-2.70446479142175	4.99043853461717	3.18150781676679e-24	6.24879950291165e-20
FAT4	-2.32478918409625	4.82954806861971	3.20041450062957e-24	6.28561407923647e-20
PHACTR1	-2.08720460357238	4.76545564807786	3.4484455219601e-24	6.77240216057744e-20
HSPA9	0.995392102633938	7.97296125371015	3.93843306150778e-24	7.73429484618899e-20
TTLL12	1.41999612417011	5.86274452382845	4.27513492873781e-24	8.39508245956243e-20
C4orf45	-4.95359696367154	-1.30977501584531	4.93961507371448e-24	9.69942815874576e-20
FREM3	-4.22263204061555	-0.17610640107079	4.95347372816688e-24	9.72614566525567e-20
GAPDH	1.96238507655319	11.2632141207898	5.35233421706263e-24	1.05087730017808e-19
